candidate_rank_ascending,threshold,attack_family,family_scope,rows,gate_eligible_rows_ge_15,baseline_hard,candidate_hard,baseline_recall,candidate_recall,recall_loss_pp,family_gate_pass
10,0.99955653128893029,Mirai UDP Flooding,CKCZ_REPORT_FAMILY,60,true,60,54,1,0.90000000000000002,9.9999999999999982,false
10,0.99955653128893029,ToN-credential_bruteforce,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1998,1,0.999,0.10000000000000009,true
10,0.99955653128893029,ToN-reconnaissance_scan,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1997,1,0.99850000000000005,0.14999999999999458,true
11,0.99963799352867955,File Download,CKCZ_REPORT_FAMILY,15,true,15,10,1,0.66666666666666663,33.333333333333336,false
11,0.99963799352867955,Ingress Tool Transfer,CKCZ_REPORT_FAMILY,18,true,18,18,1,1,0,true
11,0.99963799352867955,Merlin C&C Communication,CKCZ_REPORT_FAMILY,30,true,30,2,1,0.066666666666666666,93.333333333333329,false
11,0.99963799352867955,Merlin ICMP Flooding,CKCZ_REPORT_FAMILY,43,true,43,0,1,0,100,false
11,0.99963799352867955,Merlin TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
11,0.99963799352867955,Merlin UDP Flooding,CKCZ_REPORT_FAMILY,30,true,30,30,1,1,0,true
11,0.99963799352867955,Mirai C&C Communication,CKCZ_REPORT_FAMILY,9,false,9,8,1,0.88888888888888884,11.111111111111116,true
11,0.99963799352867955,Mirai GRE Flooding,CKCZ_REPORT_FAMILY,60,true,60,0,1,0,100,false
11,0.99963799352867955,Mirai TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
11,0.99963799352867955,Mirai UDP Flooding,CKCZ_REPORT_FAMILY,60,true,60,54,1,0.90000000000000002,9.9999999999999982,false
11,0.99963799352867955,ToN-credential_bruteforce,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1998,1,0.999,0.10000000000000009,true
11,0.99963799352867955,ToN-reconnaissance_scan,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1997,1,0.99850000000000005,0.14999999999999458,true
12,0.99965482440808362,File Download,CKCZ_REPORT_FAMILY,15,true,15,9,1,0.59999999999999998,40,false
12,0.99965482440808362,Ingress Tool Transfer,CKCZ_REPORT_FAMILY,18,true,18,18,1,1,0,true
12,0.99965482440808362,Merlin C&C Communication,CKCZ_REPORT_FAMILY,30,true,30,2,1,0.066666666666666666,93.333333333333329,false
12,0.99965482440808362,Merlin ICMP Flooding,CKCZ_REPORT_FAMILY,43,true,43,0,1,0,100,false
12,0.99965482440808362,Merlin TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
12,0.99965482440808362,Merlin UDP Flooding,CKCZ_REPORT_FAMILY,30,true,30,30,1,1,0,true
12,0.99965482440808362,Mirai C&C Communication,CKCZ_REPORT_FAMILY,9,false,9,8,1,0.88888888888888884,11.111111111111116,true
12,0.99965482440808362,Mirai GRE Flooding,CKCZ_REPORT_FAMILY,60,true,60,0,1,0,100,false
12,0.99965482440808362,Mirai TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
12,0.99965482440808362,Mirai UDP Flooding,CKCZ_REPORT_FAMILY,60,true,60,54,1,0.90000000000000002,9.9999999999999982,false
12,0.99965482440808362,ToN-credential_bruteforce,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1998,1,0.999,0.10000000000000009,true
12,0.99965482440808362,ToN-reconnaissance_scan,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1997,1,0.99850000000000005,0.14999999999999458,true
13,0.99968771188634042,File Download,CKCZ_REPORT_FAMILY,15,true,15,9,1,0.59999999999999998,40,false
13,0.99968771188634042,Ingress Tool Transfer,CKCZ_REPORT_FAMILY,18,true,18,18,1,1,0,true
13,0.99968771188634042,Merlin C&C Communication,CKCZ_REPORT_FAMILY,30,true,30,2,1,0.066666666666666666,93.333333333333329,false
13,0.99968771188634042,Merlin ICMP Flooding,CKCZ_REPORT_FAMILY,43,true,43,0,1,0,100,false
13,0.99968771188634042,Merlin TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
13,0.99968771188634042,Merlin UDP Flooding,CKCZ_REPORT_FAMILY,30,true,30,30,1,1,0,true
13,0.99968771188634042,Mirai C&C Communication,CKCZ_REPORT_FAMILY,9,false,9,8,1,0.88888888888888884,11.111111111111116,true
13,0.99968771188634042,Mirai GRE Flooding,CKCZ_REPORT_FAMILY,60,true,60,0,1,0,100,false
13,0.99968771188634042,Mirai TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
13,0.99968771188634042,Mirai UDP Flooding,CKCZ_REPORT_FAMILY,60,true,60,54,1,0.90000000000000002,9.9999999999999982,false
13,0.99968771188634042,ToN-credential_bruteforce,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1997,1,0.99850000000000005,0.14999999999999458,true
13,0.99968771188634042,ToN-reconnaissance_scan,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1997,1,0.99850000000000005,0.14999999999999458,true
14,0.99970643837376827,File Download,CKCZ_REPORT_FAMILY,15,true,15,9,1,0.59999999999999998,40,false
14,0.99970643837376827,Ingress Tool Transfer,CKCZ_REPORT_FAMILY,18,true,18,18,1,1,0,true
14,0.99970643837376827,Merlin C&C Communication,CKCZ_REPORT_FAMILY,30,true,30,2,1,0.066666666666666666,93.333333333333329,false
14,0.99970643837376827,Merlin ICMP Flooding,CKCZ_REPORT_FAMILY,43,true,43,0,1,0,100,false
14,0.99970643837376827,Merlin TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
14,0.99970643837376827,Merlin UDP Flooding,CKCZ_REPORT_FAMILY,30,true,30,30,1,1,0,true
14,0.99970643837376827,Mirai C&C Communication,CKCZ_REPORT_FAMILY,9,false,9,8,1,0.88888888888888884,11.111111111111116,true
14,0.99970643837376827,Mirai GRE Flooding,CKCZ_REPORT_FAMILY,60,true,60,0,1,0,100,false
14,0.99970643837376827,Mirai TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
14,0.99970643837376827,Mirai UDP Flooding,CKCZ_REPORT_FAMILY,60,true,60,54,1,0.90000000000000002,9.9999999999999982,false
14,0.99970643837376827,ToN-credential_bruteforce,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1996,1,0.998,0.20000000000000018,true
14,0.99970643837376827,ToN-reconnaissance_scan,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1997,1,0.99850000000000005,0.14999999999999458,true
15,0.99975136355470284,File Download,CKCZ_REPORT_FAMILY,15,true,15,9,1,0.59999999999999998,40,false
15,0.99975136355470284,Ingress Tool Transfer,CKCZ_REPORT_FAMILY,18,true,18,18,1,1,0,true
15,0.99975136355470284,Merlin C&C Communication,CKCZ_REPORT_FAMILY,30,true,30,2,1,0.066666666666666666,93.333333333333329,false
15,0.99975136355470284,Merlin ICMP Flooding,CKCZ_REPORT_FAMILY,43,true,43,0,1,0,100,false
15,0.99975136355470284,Merlin TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
15,0.99975136355470284,Merlin UDP Flooding,CKCZ_REPORT_FAMILY,30,true,30,30,1,1,0,true
15,0.99975136355470284,Mirai C&C Communication,CKCZ_REPORT_FAMILY,9,false,9,7,1,0.77777777777777779,22.222222222222221,true
15,0.99975136355470284,Mirai GRE Flooding,CKCZ_REPORT_FAMILY,60,true,60,0,1,0,100,false
15,0.99975136355470284,Mirai TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
15,0.99975136355470284,Mirai UDP Flooding,CKCZ_REPORT_FAMILY,60,true,60,54,1,0.90000000000000002,9.9999999999999982,false
15,0.99975136355470284,ToN-credential_bruteforce,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1996,1,0.998,0.20000000000000018,true
15,0.99975136355470284,ToN-reconnaissance_scan,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1997,1,0.99850000000000005,0.14999999999999458,true
16,0.99976327663112474,File Download,CKCZ_REPORT_FAMILY,15,true,15,9,1,0.59999999999999998,40,false
16,0.99976327663112474,Ingress Tool Transfer,CKCZ_REPORT_FAMILY,18,true,18,18,1,1,0,true
16,0.99976327663112474,Merlin C&C Communication,CKCZ_REPORT_FAMILY,30,true,30,2,1,0.066666666666666666,93.333333333333329,false
16,0.99976327663112474,Merlin ICMP Flooding,CKCZ_REPORT_FAMILY,43,true,43,0,1,0,100,false
16,0.99976327663112474,Merlin TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
16,0.99976327663112474,Merlin UDP Flooding,CKCZ_REPORT_FAMILY,30,true,30,30,1,1,0,true
16,0.99976327663112474,Mirai C&C Communication,CKCZ_REPORT_FAMILY,9,false,9,7,1,0.77777777777777779,22.222222222222221,true
16,0.99976327663112474,Mirai GRE Flooding,CKCZ_REPORT_FAMILY,60,true,60,0,1,0,100,false
16,0.99976327663112474,Mirai TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
16,0.99976327663112474,Mirai UDP Flooding,CKCZ_REPORT_FAMILY,60,true,60,54,1,0.90000000000000002,9.9999999999999982,false
16,0.99976327663112474,ToN-credential_bruteforce,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1995,1,0.99750000000000005,0.24999999999999467,true
16,0.99976327663112474,ToN-reconnaissance_scan,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1997,1,0.99850000000000005,0.14999999999999458,true
17,0.99977471610938962,File Download,CKCZ_REPORT_FAMILY,15,true,15,9,1,0.59999999999999998,40,false
17,0.99977471610938962,Ingress Tool Transfer,CKCZ_REPORT_FAMILY,18,true,18,18,1,1,0,true
17,0.99977471610938962,Merlin C&C Communication,CKCZ_REPORT_FAMILY,30,true,30,2,1,0.066666666666666666,93.333333333333329,false
17,0.99977471610938962,Merlin ICMP Flooding,CKCZ_REPORT_FAMILY,43,true,43,0,1,0,100,false
17,0.99977471610938962,Merlin TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
17,0.99977471610938962,Merlin UDP Flooding,CKCZ_REPORT_FAMILY,30,true,30,30,1,1,0,true
17,0.99977471610938962,Mirai C&C Communication,CKCZ_REPORT_FAMILY,9,false,9,7,1,0.77777777777777779,22.222222222222221,true
17,0.99977471610938962,Mirai GRE Flooding,CKCZ_REPORT_FAMILY,60,true,60,0,1,0,100,false
17,0.99977471610938962,Mirai TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
17,0.99977471610938962,Mirai UDP Flooding,CKCZ_REPORT_FAMILY,60,true,60,54,1,0.90000000000000002,9.9999999999999982,false
17,0.99977471610938962,ToN-credential_bruteforce,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1995,1,0.99750000000000005,0.24999999999999467,true
