seed,fit_mode,ood_weight,support_weight,fit_label,threshold,threshold_rule,threshold_source,support_recall_target,selection_feasible,uses_ood_gate,id_calib_alarm_at_threshold,ood_val_alarm_at_threshold_reported_not_gate,support_val_detection_at_threshold,pseudo_query_dev_detection_at_threshold
43,id_support_only,0.0,4.0,id_support_only_w4,0.47827345121567233,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0033333333333333335,0.5686666666666667,0.9375,0.9990234375
43,id_support_only,0.0,4.0,id_support_only_w4,0.4412194930404288,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.5686666666666667,0.953125,0.9990234375
44,id_support_only,0.0,4.0,id_support_only_w4,0.5546810022645599,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0016666666666666668,0.5606666666666666,0.890625,0.9990234375
44,id_support_only,0.0,4.0,id_support_only_w4,0.524975620497035,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0016666666666666668,0.5686666666666667,0.921875,0.9990234375
44,id_support_only,0.0,4.0,id_support_only_w4,0.47827345121567233,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0033333333333333335,0.5686666666666667,0.9375,0.9990234375
44,id_support_only,0.0,4.0,id_support_only_w4,0.4412194930404288,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.5686666666666667,0.953125,0.9990234375
45,id_support_only,0.0,4.0,id_support_only_w4,0.5546810022645599,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0016666666666666668,0.5606666666666666,0.890625,0.9990234375
45,id_support_only,0.0,4.0,id_support_only_w4,0.524975620497035,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0016666666666666668,0.5686666666666667,0.921875,0.9990234375
45,id_support_only,0.0,4.0,id_support_only_w4,0.47827345121567233,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0033333333333333335,0.5686666666666667,0.9375,0.9990234375
45,id_support_only,0.0,4.0,id_support_only_w4,0.4412194930404288,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.5686666666666667,0.953125,0.9990234375
46,id_support_only,0.0,4.0,id_support_only_w4,0.5546810022645599,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0016666666666666668,0.5606666666666666,0.890625,0.9990234375
46,id_support_only,0.0,4.0,id_support_only_w4,0.524975620497035,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0016666666666666668,0.5686666666666667,0.921875,0.9990234375
46,id_support_only,0.0,4.0,id_support_only_w4,0.47827345121567233,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0033333333333333335,0.5686666666666667,0.9375,0.9990234375
46,id_support_only,0.0,4.0,id_support_only_w4,0.4412194930404288,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.5686666666666667,0.953125,0.9990234375
42,id_support_only,0.0,16.0,id_support_only_w16,0.8087472963601844,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.005,0.5033333333333333,0.890625,0.9970703125
42,id_support_only,0.0,16.0,id_support_only_w16,0.7715946457835249,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.005,0.5646666666666667,0.921875,0.9990234375
42,id_support_only,0.0,16.0,id_support_only_w16,0.7063603517321051,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.02,0.6813333333333333,0.9375,1.0
42,id_support_only,0.0,16.0,id_support_only_w16,0.7358325030970054,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.008333333333333333,0.6693333333333333,0.9375,0.9990234375
43,id_support_only,0.0,16.0,id_support_only_w16,0.8087472963601844,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.005,0.5033333333333333,0.890625,0.9970703125
43,id_support_only,0.0,16.0,id_support_only_w16,0.7715946457835249,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.005,0.5646666666666667,0.921875,0.9990234375
43,id_support_only,0.0,16.0,id_support_only_w16,0.7063603517321051,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.02,0.6813333333333333,0.9375,1.0
43,id_support_only,0.0,16.0,id_support_only_w16,0.7358325030970054,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.008333333333333333,0.6693333333333333,0.9375,0.9990234375
44,id_support_only,0.0,16.0,id_support_only_w16,0.8087472963601844,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.005,0.5033333333333333,0.890625,0.9970703125
44,id_support_only,0.0,16.0,id_support_only_w16,0.7715946457835249,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.005,0.5646666666666667,0.921875,0.9990234375
44,id_support_only,0.0,16.0,id_support_only_w16,0.7063603517321051,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.02,0.6813333333333333,0.9375,1.0
44,id_support_only,0.0,16.0,id_support_only_w16,0.7358325030970054,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.008333333333333333,0.6693333333333333,0.9375,0.9990234375
45,id_support_only,0.0,16.0,id_support_only_w16,0.8087472963601844,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.005,0.5033333333333333,0.890625,0.9970703125
45,id_support_only,0.0,16.0,id_support_only_w16,0.7715946457835249,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.005,0.5646666666666667,0.921875,0.9990234375
45,id_support_only,0.0,16.0,id_support_only_w16,0.7063603517321051,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.02,0.6813333333333333,0.9375,1.0
45,id_support_only,0.0,16.0,id_support_only_w16,0.7358325030970054,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.008333333333333333,0.6693333333333333,0.9375,0.9990234375
46,id_support_only,0.0,16.0,id_support_only_w16,0.8087472963601844,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.005,0.5033333333333333,0.890625,0.9970703125
46,id_support_only,0.0,16.0,id_support_only_w16,0.7715946457835249,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.005,0.5646666666666667,0.921875,0.9990234375
46,id_support_only,0.0,16.0,id_support_only_w16,0.7063603517321051,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.02,0.6813333333333333,0.9375,1.0
46,id_support_only,0.0,16.0,id_support_only_w16,0.7358325030970054,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.008333333333333333,0.6693333333333333,0.9375,0.9990234375
