holdout,feature_index,mapped_kitnet_family,lambda,mapped_statistic_type,feature_name_if_available,source_code_location_if_recoverable,split,n,min,max,mean,median,std,q01,q05,q50,q95,q99,missing_rate,unique_count,ks_distance_vs_final_ood_eval,ks_distance_vs_attack_eval,attack_vs_ood_best_single_feature_auc,support_vs_attack_eval_ks,support_vs_attack_eval_median_abs_delta
holdout_bin_5,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_train,8000,0.0,496617.21875,130555.68957714844,139861.7109375,40983.18672589147,20225.354765625,25903.46708984375,139861.7109375,155232.11406249998,184913.63953125037,0.0,7836,0.8968750000000001,0.9995,0.9993404789053592,0.625,153849.578125
holdout_bin_5,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_train,8000,0.0,489911.125,22784.368890216945,16486.1015625,36900.075399512534,4002.0170922851553,6608.5606689453125,16486.1015625,47679.33007812378,206847.71171875,0.0,7380,0.026375000000000037,0.99,0.9993404789053592,0.625,153849.578125
holdout_bin_5,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_calib,5000,16538.466796875,164731.40625,128859.20221601562,139871.1015625,31501.658688847434,20632.328359375,26610.39365234375,139871.1015625,154484.97109375,158145.72656250003,0.0,4895,0.8998999999999999,1.0,0.9993404789053592,0.625,153849.578125
holdout_bin_5,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_val,2000,2535.41259765625,378197.375,22216.77480432129,16672.123046875,34641.12374799066,4601.8818359375,6873.405444335937,16672.123046875,34182.39140625,198019.921875,0.0,1849,0.030000000000000027,0.994,0.9993404789053592,0.625,153849.578125
holdout_bin_5,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_eval,10000,2060.668701171875,858073.875,26777.997848339844,16881.294921875,53164.651738312496,4887.1922265625,6888.5872802734375,16881.294921875,109113.94960937419,310216.37875000044,0.0,9251,0.0,0.9965,0.9993404789053592,0.625,153849.578125
holdout_bin_5,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,support,32,53.35072708129883,734128.875,279817.3368278742,156510.265625,283889.914779025,93.69651447296143,194.84722213745118,156510.265625,715607.41875,734128.875,0.0,30,0.51955,0.625,0.9993404789053592,0.625,153849.578125
holdout_bin_5,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,attack_eval,877,44.891109466552734,3901.689697265625,2357.945876200903,2660.691162109375,817.4466297548373,64.91084991455078,236.59424133300783,2660.691162109375,3201.214501953124,3687.739052734375,0.0,862,0.9965,0.0,0.9993404789053592,0.625,153849.578125
holdout_bin_6,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_train,8000,0.0,497159.1875,136646.52241796875,140907.640625,43190.80110936678,27119.74853515625,28929.146484375,140907.640625,153286.5257812499,294652.875,0.0,7833,0.8934249999999999,0.9995,1.0,0.6875,408794.96875
holdout_bin_6,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_train,8000,0.0,445534.5625,27246.806919813873,20838.673828125,26390.48733248436,18784.03373046875,19438.70302734375,20838.673828125,63817.552539062475,124733.25312500077,0.0,7842,0.05017499999999997,0.99925,1.0,0.6875,408794.96875
holdout_bin_6,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_calib,5000,24510.9296875,143586.703125,131691.1830828125,140396.2421875,29797.628571462086,27203.701171875,29434.84296875,140396.2421875,142181.14140625,143081.59109375,0.0,4906,0.8985,1.0,1.0,0.6875,408794.96875
holdout_bin_6,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_val,2000,18321.919921875,336423.4375,26870.917158203127,20848.2744140625,25308.555427768115,19000.07099609375,19499.1650390625,20848.2744140625,60421.9587890625,121465.93499999992,0.0,1972,0.040100000000000025,1.0,1.0,0.6875,408794.96875
holdout_bin_6,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_eval,10000,18225.912109375,846673.5,31771.094971875,20870.3193359375,43146.886966022976,18976.27826171875,19470.86181640625,20870.3193359375,80788.24179687495,254457.28890625015,0.0,9831,0.0,1.0,1.0,0.6875,408794.96875
holdout_bin_6,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,support,32,99.44450378417969,511267.09375,278623.90112543106,411395.03125,217186.51895475286,148.79262405395508,261.54028472900393,411395.03125,506995.225,510114.571875,0.0,28,0.6225,0.6875,1.0,0.6875,408794.96875
holdout_bin_6,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,attack_eval,1001,171.89112854003906,2717.1875,2458.295754660379,2600.076416015625,570.7047399557538,189.90989685058594,282.3503723144531,2600.076416015625,2686.709716796875,2709.952392578125,0.0,985,1.0,0.0,1.0,0.6875,408794.96875
holdout_bin_6,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_train,8000,165.68162536621094,926.5728149414062,384.20066787338254,396.37493896484375,65.14288622141838,183.82336502075196,189.9267318725586,396.37493896484375,410.4891906738281,523.3588531494141,0.0,7901,0.908675,1.0,1.0,0.674512987012987,923.4016723632812
holdout_bin_6,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_train,8000,191.05288696289062,516.7665405273438,244.81271438598634,243.65838623046875,20.03669767714532,209.2815692138672,221.59700622558594,243.65838623046875,264.7716781616211,337.6491918945314,0.0,7903,0.06284999999999996,1.0,1.0,0.674512987012987,923.4016723632812
holdout_bin_6,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_calib,5000,175.09266662597656,407.0069274902344,380.2897307739258,396.2749328613281,55.22255344786055,183.08471008300782,192.02120132446288,396.2749328613281,402.04584045410155,404.5951528930664,0.0,4922,0.9126,1.0,1.0,0.674512987012987,923.4016723632812
holdout_bin_6,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_val,2000,199.3267059326172,453.0611877441406,245.06686150360107,244.02689361572266,19.229337601441937,211.46905639648438,223.2359245300293,244.02689361572266,263.34868774414065,325.3888763427733,0.0,1981,0.061999999999999944,1.0,1.0,0.674512987012987,923.4016723632812
holdout_bin_6,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_eval,10000,197.1838836669922,1143.47216796875,248.93285356750488,245.3385772705078,33.17144458793769,214.37737579345702,225.51720275878907,245.3385772705078,273.10846862792965,380.63786499023445,0.0,9918,0.0,1.0,1.0,0.674512987012987,923.4016723632812
holdout_bin_6,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,support,32,74.62799835205078,1276.4881591796875,757.3395140171051,1053.15234375,498.8884271709385,75.37017768859863,99.56385459899903,1053.15234375,1213.3838989257813,1258.5055859375,0.0,32,0.6247,0.674512987012987,1.0,0.674512987012987,923.4016723632812
holdout_bin_6,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,attack_eval,1001,96.13859558105469,131.11288452148438,128.1859807977667,129.7506866455078,6.818959099919097,96.4205551147461,117.56536865234375,129.7506866455078,130.69046020507812,130.95462036132812,0.0,985,1.0,0.0,1.0,0.674512987012987,923.4016723632812
holdout_bin_6,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_train,8000,0.0,496617.21875,130555.68957714844,139861.7109375,40983.18672589147,20225.354765625,25903.46708984375,139861.7109375,155232.11406249998,184913.63953125037,0.0,7836,0.8968750000000001,0.9995,0.9993561438561438,0.625,153866.984375
holdout_bin_6,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_train,8000,0.0,489911.125,22784.368890216945,16486.1015625,36900.075399512534,4002.0170922851553,6608.5606689453125,16486.1015625,47679.33007812378,206847.71171875,0.0,7380,0.026375000000000037,0.99,0.9993561438561438,0.625,153866.984375
holdout_bin_6,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_calib,5000,16538.466796875,164731.40625,128859.20221601562,139871.1015625,31501.658688847434,20632.328359375,26610.39365234375,139871.1015625,154484.97109375,158145.72656250003,0.0,4895,0.8998999999999999,1.0,0.9993561438561438,0.625,153866.984375
holdout_bin_6,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_val,2000,2535.41259765625,378197.375,22216.77480432129,16672.123046875,34641.12374799066,4601.8818359375,6873.405444335937,16672.123046875,34182.39140625,198019.921875,0.0,1849,0.030000000000000027,0.994,0.9993561438561438,0.625,153866.984375
holdout_bin_6,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_eval,10000,2060.668701171875,858073.875,26777.997848339844,16881.294921875,53164.651738312496,4887.1922265625,6888.5872802734375,16881.294921875,109113.94960937419,310216.37875000044,0.0,9251,0.0,0.9965,0.9993561438561438,0.625,153866.984375
holdout_bin_6,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,support,32,53.35072708129883,734128.875,279822.0468264818,156510.265625,283885.2772743843,93.69651447296143,194.84722213745118,156510.265625,715607.41875,734128.875,0.0,30,0.51955,0.625,0.9993561438561438,0.625,153866.984375
holdout_bin_6,39,HH,0.1,radius,HH_radius_lambda_0.1,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,attack_eval,1001,46.5108642578125,3901.13818359375,2408.3160853543122,2643.284423828125,731.1711472862586,77.47982025146484,304.35589599609375,2643.284423828125,3037.490234375,3728.55908203125,0.0,986,0.9965,0.0,0.9993561438561438,0.625,153866.984375
holdout_bin_7,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_train,8000,0.0,497159.1875,136646.52241796875,140907.640625,43190.80110936678,27119.74853515625,28929.146484375,140907.640625,153286.5257812499,294652.875,0.0,7833,0.8934249999999999,0.9995,1.0,0.65625,408750.90625
holdout_bin_7,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_train,8000,0.0,445534.5625,27246.806919813873,20838.673828125,26390.48733248436,18784.03373046875,19438.70302734375,20838.673828125,63817.552539062475,124733.25312500077,0.0,7842,0.05017499999999997,0.99925,1.0,0.65625,408750.90625
holdout_bin_7,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_calib,5000,24510.9296875,143586.703125,131691.1830828125,140396.2421875,29797.628571462086,27203.701171875,29434.84296875,140396.2421875,142181.14140625,143081.59109375,0.0,4906,0.8985,1.0,1.0,0.65625,408750.90625
holdout_bin_7,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_val,2000,18321.919921875,336423.4375,26870.917158203127,20848.2744140625,25308.555427768115,19000.07099609375,19499.1650390625,20848.2744140625,60421.9587890625,121465.93499999992,0.0,1972,0.040100000000000025,1.0,1.0,0.65625,408750.90625
holdout_bin_7,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_eval,10000,18225.912109375,846673.5,31771.094971875,20870.3193359375,43146.886966022976,18976.27826171875,19470.86181640625,20870.3193359375,80788.24179687495,254457.28890625015,0.0,9831,0.0,1.0,1.0,0.65625,408750.90625
holdout_bin_7,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,support,32,99.44450378417969,511267.09375,266838.62515449524,411395.03125,221582.57937143103,134.15173217773437,237.37908096313475,411395.03125,506995.225,510114.571875,0.0,28,0.59125,0.65625,1.0,0.65625,408750.90625
holdout_bin_7,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,attack_eval,1141,196.49693298339844,2712.26123046875,2519.8500509838805,2644.120361328125,525.5090956736642,248.84776916503907,313.57720947265625,2644.120361328125,2696.177490234375,2708.579052734375,0.0,1129,1.0,0.0,1.0,0.65625,408750.90625
holdout_bin_7,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_train,8000,165.68162536621094,926.5728149414062,384.20066787338254,396.37493896484375,65.14288622141838,183.82336502075196,189.9267318725586,396.37493896484375,410.4891906738281,523.3588531494141,0.0,7901,0.908675,1.0,1.0,0.6457329097283085,921.123779296875
holdout_bin_7,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_train,8000,191.05288696289062,516.7665405273438,244.81271438598634,243.65838623046875,20.03669767714532,209.2815692138672,221.59700622558594,243.65838623046875,264.7716781616211,337.6491918945314,0.0,7903,0.06284999999999996,1.0,1.0,0.6457329097283085,921.123779296875
holdout_bin_7,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_calib,5000,175.09266662597656,407.0069274902344,380.2897307739258,396.2749328613281,55.22255344786055,183.08471008300782,192.02120132446288,396.2749328613281,402.04584045410155,404.5951528930664,0.0,4922,0.9126,1.0,1.0,0.6457329097283085,921.123779296875
holdout_bin_7,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_val,2000,199.3267059326172,453.0611877441406,245.06686150360107,244.02689361572266,19.229337601441937,211.46905639648438,223.2359245300293,244.02689361572266,263.34868774414065,325.3888763427733,0.0,1981,0.061999999999999944,1.0,1.0,0.6457329097283085,921.123779296875
holdout_bin_7,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_eval,10000,197.1838836669922,1143.47216796875,248.93285356750488,245.3385772705078,33.17144458793769,214.37737579345702,225.51720275878907,245.3385772705078,273.10846862792965,380.63786499023445,0.0,9918,0.0,1.0,1.0,0.6457329097283085,921.123779296875
