seed,role,subspace_name,rows,raw_alarm_rate,attack_shell_rate,benign_core_rate,conflict_uncapped_rate,attack_advantage_p50,attack_advantage_p95,attack_outer_p50,benign_outer_p50,uses_report_only_for_selection
44,ood_stress_val,HH,2850,0.24140350877192981,0.5270175438596492,0.8894736842105263,0.0,-0.9102122783660889,-0.4865550994873047,0.9183313846588135,0.008585937321186066,False
44,support_medium_val,HH,24,0.9166666666666666,1.0,1.0,0.9166666666666666,-0.44295382499694824,-0.23844105005264282,0.45548996329307556,0.012007422745227814,False
44,support_heavy_val,HH,9,1.0,1.0,1.0,1.0,0.0042732954025268555,0.0845894142985344,0.12707005441188812,0.13134334981441498,False
44,pseudo_medium_query,HH,34,0.9117647058823529,0.9117647058823529,1.0,0.8235294117647058,-0.5385481119155884,-0.3263857364654541,0.5492615103721619,0.0099945068359375,False
44,pseudo_heavy_query,HH,31,1.0,0.9354838709677419,1.0,0.9354838709677419,-0.32925620675086975,-0.1861388236284256,0.5392981171607971,0.21043826639652252,False
44,medium_attack_eval_report_only,HH,2250,0.9915555555555555,0.9955555555555555,0.9995555555555555,0.9884444444444445,-0.4337861239910126,-0.1594056487083435,0.44363296031951904,0.009671835228800774,False
44,dev_heavy_query_report_only,HH,4000,0.9995,0.62925,1.0,0.62875,-0.5778031349182129,-0.04449301213026047,0.7831138372421265,0.13287431001663208,False
44,final_ood_report_only,HH,3000,0.3396666666666667,0.5313333333333333,0.996,0.0016666666666666668,-0.8471159338951111,-0.46608972549438477,0.8566069602966309,0.008702689781785011,False
45,id_calib,HH,600,0.0,0.745,1.0,0.0,-0.7247602939605713,0.00854260753840208,0.7356703877449036,0.010659576393663883,False
45,ood_val,HH,1500,0.0,0.14333333333333334,1.0,0.0,-37.930416107177734,-0.5284384489059448,37.93656921386719,0.008006740361452103,False
45,ood_stress_val,HH,2850,0.23719298245614034,0.4340350877192982,0.8894736842105263,0.0,-1.5231122970581055,-0.35424885153770447,1.5316236019134521,0.008585937321186066,False
45,support_medium_val,HH,25,1.0,1.0,1.0,1.0,-0.2461937665939331,-0.12070789933204651,0.2547825574874878,0.010875781998038292,False
45,support_heavy_val,HH,8,1.0,1.0,1.0,1.0,0.01680561900138855,0.15329396724700928,0.19408458471298218,0.21031151711940765,False
45,pseudo_medium_query,HH,28,0.6428571428571429,0.8928571428571429,1.0,0.6428571428571429,-0.5616852641105652,-0.31876254081726074,0.5698720812797546,0.008535953238606453,False
45,pseudo_heavy_query,HH,33,1.0,0.9393939393939394,1.0,0.9393939393939394,-0.5456162095069885,-0.33244961500167847,0.6768332123756409,0.13128156960010529,False
45,medium_attack_eval_report_only,HH,2250,0.9373333333333334,0.9862222222222222,0.9995555555555555,0.9373333333333334,-0.2472091019153595,-0.06903690844774246,0.25690191984176636,0.009671835228800774,False
45,dev_heavy_query_report_only,HH,4000,0.9995,0.6435,1.0,0.643,-0.5393643379211426,0.050019245594739914,0.6946066617965698,0.13287431001663208,False
45,final_ood_report_only,HH,3000,0.33766666666666667,0.5336666666666666,0.996,0.0006666666666666666,-0.9244688749313354,-0.13540098071098328,0.9343729019165039,0.008702689781785011,False
46,id_calib,HH,600,0.0016666666666666668,0.425,1.0,0.0016666666666666668,-1.1222598552703857,0.008547650650143623,1.1334686279296875,0.010659576393663883,False
46,ood_val,HH,1500,0.0,0.14333333333333334,1.0,0.0,-63.163597106933594,-0.7344197034835815,63.17059326171875,0.008006740361452103,False
46,ood_stress_val,HH,2850,0.24280701754385964,0.49157894736842106,0.8894736842105263,0.0,-1.0284478664398193,-0.43347182869911194,1.0368881225585938,0.008585937321186066,False
46,support_medium_val,HH,16,0.9375,1.0,1.0,0.9375,-0.4359225928783417,-0.25460436940193176,0.4445559084415436,0.00973171554505825,False
46,support_heavy_val,HH,8,1.0,1.0,1.0,1.0,0.08899837732315063,0.10412663966417313,0.041861776262521744,0.13167709112167358,False
46,pseudo_medium_query,HH,66,0.9393939393939394,0.9242424242424242,1.0,0.8636363636363636,-0.7311099767684937,-0.5369556546211243,0.7421492338180542,0.011901972815394402,False
46,pseudo_heavy_query,HH,35,1.0,0.9428571428571428,1.0,0.9428571428571428,0.006285220384597778,0.07744282484054565,0.201507568359375,0.21041198074817657,False
46,medium_attack_eval_report_only,HH,2250,0.992,0.9964444444444445,0.9995555555555555,0.9906666666666667,-0.3997647166252136,-0.14190804958343506,0.4093661308288574,0.009671835228800774,False
46,dev_heavy_query_report_only,HH,4000,0.9995,0.85375,1.0,0.85325,-0.20267587900161743,0.06153472885489464,0.32917991280555725,0.13287431001663208,False
46,final_ood_report_only,HH,3000,0.356,0.5173333333333333,0.996,0.018333333333333333,-0.8760203123092651,-0.1370466649532318,0.8851094245910645,0.008702689781785011,False
